Matrícula;Data;Entrada Manhã;Saída Almoço;Entrada Tarde;Saída Expediente;Total Diário
1055;01/07/2019;08:22:52;12:50:22;13:07:48;17:56:35;09:16:17
1056;01/07/2019;08:41:34;12:48:53;13:36:54;17:56:42;08:27:07
1057;01/07/2019;08:40:17;12:48:21;13:37:10;17:30:02;08:00:56
1058;01/07/2019;08:15:15;12:17:14;13:38:56;17:28:42;07:51:45
1059;01/07/2019;08:02:30;12:31:31;13:07:56;17:11:35;08:32:40
1060;01/07/2019;08:42:31;12:43:56;13:27:05;17:39:03;08:13:23
1061;01/07/2019;08:21:32;12:49:44;13:07:13;17:59:43;09:20:42
1062;01/07/2019;08:54:40;12:36:01;13:03:23;17:04:03;07:42:01
1063;01/07/2019;08:11:39;12:48:28;13:13:55;17:52:04;09:14:58
1064;01/07/2019;08:45:22;12:36:18;13:13:41;17:58:34;08:35:49
1065;01/07/2019;08:49:38;12:41:34;13:13:42;17:39:24;08:17:38
1066;01/07/2019;08:59:19;12:36:00;13:16:48;17:23:54;07:43:47
1067;01/07/2019;08:50:03;12:46:13;13:12:50;17:13:12;07:56:32
1068;01/07/2019;08:26:45;12:15:24;13:53:53;17:01:44;06:56:30
1069;01/07/2019;08:39:33;12:56:44;13:13:19;17:28:54;08:32:46
1070;01/07/2019;08:57:14;12:21:35;13:42:28;17:50:02;07:31:55
1071;01/07/2019;08:26:08;12:32:00;13:32:19;17:36:35;08:10:08
1072;01/07/2019;08:05:45;12:38:09;13:58:19;17:00:36;07:34:41
1073;01/07/2019;08:04:20;12:09:57;13:28:39;17:35:03;08:12:01
1074;01/07/2019;08:26:18;12:22:41;13:43:08;17:11:33;07:24:48
1075;01/07/2019;08:50:49;12:28:10;13:21:27;17:09:03;07:24:57
1076;01/07/2019;08:41:02;12:59:30;13:15:49;17:50:10;08:52:49
1077;01/07/2019;08:45:28;12:38:39;13:19:15;17:52:13;08:26:09
1078;01/07/2019;08:47:36;12:53:01;13:55:00;17:41:14;07:51:39
1079;01/07/2019;08:47:51;12:57:08;13:03:19;17:55:04;09:01:02
1080;01/07/2019;08:42:21;12:51:34;13:55:51;17:11:08;07:24:30
1081;01/07/2019;08:11:58;12:51:36;13:34:01;17:43:53;08:49:30
1082;01/07/2019;08:40:24;12:02:35;13:11:23;17:37:11;07:47:59
1083;01/07/2019;08:33:16;12:59:07;13:57:20;17:14:15;07:42:46
1084;01/07/2019;08:40:56;12:51:04;13:25:55;17:08:47;07:53:00
1085;01/07/2019;08:50:28;12:09:03;13:45:23;17:52:18;07:25:30
1086;01/07/2019;08:46:47;12:43:33;13:45:19;17:24:58;07:36:25
1087;01/07/2019;08:03:26;12:34:23;13:46:51;17:54:38;08:38:44
1088;01/07/2019;08:52:14;12:48:23;13:43:57;17:32:59;07:45:11
1089;01/07/2019;08:56:52;12:10:12;13:18:59;17:54:13;07:48:34
1090;01/07/2019;08:35:30;12:29:40;13:19:08;17:27:12;08:02:14
1091;01/07/2019;08:13:24;12:39:45;13:21:13;17:40:18;08:45:26
1092;01/07/2019;08:07:30;12:59:09;13:44:47;17:44:55;08:51:47
1093;01/07/2019;08:23:07;12:33:59;13:21:24;17:09:01;07:58:29
1094;01/07/2019;08:42:34;12:42:03;13:43:34;17:33:16;07:49:11
1095;01/07/2019;08:56:21;12:22:30;13:12:21;17:34:46;07:48:34
1096;01/07/2019;08:41:34;12:51:56;13:03:32;17:29:40;08:36:30
1097;01/07/2019;08:18:35;12:49:11;13:09:44;17:12:20;08:33:12
1098;01/07/2019;08:56:53;12:58:35;13:40:52;17:27:22;07:48:12
1099;01/07/2019;08:03:59;12:12:11;13:23:22;17:09:14;07:54:04
1000;02/07/2019;08:01:49;12:54:03;13:07:43;17:34:07;09:18:38
1000;02/07/2019;08:16:08;12:29:04;13:32:35;17:18:06;07:58:27
1001;02/07/2019;08:42:15;12:52:21;13:48:55;17:21:09;07:42:20
1002;02/07/2019;08:56:04;12:10:40;13:04:03;17:22:05;07:32:38
1003;02/07/2019;08:46:55;12:07:26;13:49:09;17:19:15;06:50:37
1004;02/07/2019;08:44:42;12:04:51;13:11:00;17:15:45;07:24:54
1005;02/07/2019;08:31:41;12:03:14;13:52:00;17:30:06;07:09:39
1006;02/07/2019;08:43:05;12:29:16;13:12:25;17:10:16;07:44:02
1007;02/07/2019;08:23:01;12:12:00;13:56:12;17:21:10;07:13:57
1008;02/07/2019;08:18:20;12:53:39;13:12:27;17:54:08;09:17:00
1009;02/07/2019;08:02:38;12:57:15;13:08:50;17:06:26;08:52:13
1010;02/07/2019;08:06:19;12:17:43;13:53:25;17:09:53;07:27:52
1011;02/07/2019;08:14:36;12:06:25;13:40:10;17:52:37;08:04:16
1012;02/07/2019;08:34:46;12:06:42;13:14:54;17:51:41;08:08:43
1013;02/07/2019;08:36:22;12:25:43;13:43:40;17:08:09;07:13:50
1014;02/07/2019;08:23:51;12:42:11;13:26:13;17:05:50;07:57:57
1015;02/07/2019;08:35:18;12:59:05;13:54:59;17:46:56;08:15:44
1016;02/07/2019;08:39:11;12:21:25;13:16:26;17:45:54;08:11:42
1017;02/07/2019;08:51:07;12:41:33;13:59:11;17:46:52;07:38:07
1018;02/07/2019;08:29:37;12:48:55;13:58:53;17:54:40;08:15:05
1019;02/07/2019;08:15:45;12:21:24;13:33:16;17:45:01;08:17:24
1020;02/07/2019;08:37:52;12:56:11;13:08:23;17:31:11;08:41:07
1021;02/07/2019;08:47:12;12:00:46;13:10:09;17:04:15;07:07:40
1022;02/07/2019;08:35:30;12:39:12;13:36:24;17:34:20;08:01:38
1023;02/07/2019;08:23:06;12:44:06;13:10:03;17:15:15;08:26:12
1024;02/07/2019;08:32:15;12:08:20;13:46:59;17:22:56;07:12:02
1025;02/07/2019;08:31:47;12:01:50;13:31:30;17:52:15;07:50:48
1026;02/07/2019;08:48:25;12:10:21;13:55:42;17:03:58;06:30:12
1027;02/07/2019;08:01:26;12:35:10;13:05:01;17:01:43;08:30:26
1028;02/07/2019;08:16:12;12:41:04;13:58:27;17:02:35;07:29:00
1029;02/07/2019;08:08:40;12:21:01;13:06:05;17:11:14;08:17:30
1030;02/07/2019;08:11:39;12:24:54;13:00:46;17:42:45;08:55:14
1031;02/07/2019;08:56:44;12:04:22;13:30:10;17:09:33;06:47:01
1032;02/07/2019;08:41:10;12:35:07;13:25:24;17:53:10;08:21:43
1033;02/07/2019;08:45:46;12:34:44;13:20:57;17:17:53;07:45:54
1034;02/07/2019;08:46:39;12:11:55;13:07:59;17:17:32;07:34:49
1035;02/07/2019;08:55:52;12:50:58;13:08:18;17:35:28;08:22:16
1036;02/07/2019;08:07:57;12:35:32;13:48:25;17:55:20;08:34:30
1037;02/07/2019;08:47:51;12:43:03;13:02:37;17:36:26;08:29:01
1038;02/07/2019;08:31:51;12:29:09;13:55:37;17:59:50;08:01:31
1039;02/07/2019;08:59:52;12:01:59;13:44:59;17:06:30;06:23:38
1040;02/07/2019;08:40:46;12:01:03;13:57:22;17:30:29;06:53:24
1041;02/07/2019;08:02:44;12:08:42;13:03:43;17:02:57;08:05:12
1042;02/07/2019;08:07:17;12:01:39;13:49:36;17:57:16;08:02:02
1043;02/07/2019;08:12:14;12:08:06;13:54:23;17:25:29;07:26:58
1044;02/07/2019;08:18:03;12:54:56;13:26:15;17:23:56;08:34:34
1045;02/07/2019;08:32:28;12:53:05;13:16:23;17:21:27;08:25:41
1046;02/07/2019;08:21:14;12:25:24;13:34:30;17:02:12;07:31:52
1047;02/07/2019;08:47:23;12:23:30;13:21:14;17:46:13;08:01:06
1048;02/07/2019;08:24:13;12:33:59;13:14:09;17:11:33;08:07:10
1049;02/07/2019;08:32:53;12:11:45;13:37:52;17:11:07;07:12:07
1050;02/07/2019;08:41:45;12:57:44;13:48:10;17:45:17;08:13:06
1051;02/07/2019;08:08:44;12:54:14;13:42:39;17:53:57;08:56:48
1052;02/07/2019;08:41:22;12:52:46;13:22:47;17:53:23;08:42:00
1053;02/07/2019;08:33:49;12:07:35;13:10:56;17:12:34;07:35:24
1054;02/07/2019;08:53:39;12:22:35;13:29:07;17:04:38;07:04:27
1055;02/07/2019;08:47:16;12:36:25;13:51:00;17:59:48;07:57:57
1056;02/07/2019;08:29:58;12:31:50;13:08:31;17:57:47;08:51:08
1057;02/07/2019;08:26:19;12:10:32;13:09:18;17:27:03;08:01:58
1058;02/07/2019;08:50:35;12:19:58;13:16:03;17:34:33;07:47:53
1059;02/07/2019;08:44:43;12:33:27;13:21:36;17:56:47;08:23:55
1060;02/07/2019;08:05:43;12:23:46;13:09:46;17:50:50;08:59:07
1061;02/07/2019;08:16:53;12:11:43;13:38:05;17:24:56;07:41:41
1062;02/07/2019;08:25:33;12:41:10;13:38:16;17:51:48;08:29:09
1063;02/07/2019;08:05:37;12:44:37;13:09:39;17:51:36;09:20:57
1064;02/07/2019;08:24:11;12:40:31;13:45:19;17:23:49;07:54:50
1065;02/07/2019;08:36:03;12:07:33;13:31:26;17:01:19;07:01:23
1066;02/07/2019;08:07:34;12:10:08;13:20:07;17:25:38;08:08:05
1067;02/07/2019;08:34:07;12:31:45;13:53:43;17:51:26;07:55:21
1068;02/07/2019;08:05:42;12:02:08;13:27:55;17:18:10;07:46:41
1069;02/07/2019;08:21:45;12:47:55;13:42:31;17:41:14;08:24:53
1070;02/07/2019;08:33:20;12:42:14;13:10:23;17:49:05;08:47:36
1071;02/07/2019;08:13:24;12:46:12;13:37:17;17:57:06;08:52:37
1072;02/07/2019;08:42:01;12:41:36;13:46:00;17:57:40;08:11:15
1073;02/07/2019;08:45:51;12:52:37;13:12:32;17:28:50;08:23:04
1074;02/07/2019;08:48:30;12:46:02;13:29:44;17:41:17;08:09:05
1075;02/07/2019;08:55:28;12:47:49;13:46:50;17:30:08;07:35:39
1076;02/07/2019;08:01:20;12:08:40;13:15:03;17:51:45;08:44:02
1077;02/07/2019;08:12:30;12:14:41;13:50:29;17:26:05;07:37:47
1078;02/07/2019;08:13:40;12:04:35;13:26:58;17:51:55;08:15:52
1079;02/07/2019;08:59:23;12:18:42;13:21:03;17:18:30;07:16:46
1080;02/07/2019;08:18:56;12:35:51;13:45:34;17:02:46;07:34:07
1081;02/07/2019;08:22:35;12:32:15;13:18:40;17:06:52;07:57:52
1082;02/07/2019;08:47:50;12:02:08;13:40:16;17:10:22;06:44:24
1083;02/07/2019;08:58:59;12:59:16;13:44:11;17:10:45;07:26:51
1084;02/07/2019;08:59:36;12:23:14;13:27:21;17:08:25;07:04:42
1085;02/07/2019;08:36:49;12:19:56;13:41:20;17:34:47;07:36:34
1086;02/07/2019;08:52:21;12:48:58;13:54:33;17:28:06;07:30:10
1087;02/07/2019;08:19:29;12:47:00;13:08:53;17:32:30;08:51:08
1088;02/07/2019;08:44:19;12:52:27;13:57:37;17:54:28;08:04:59
1089;02/07/2019;08:02:24;12:58:35;13:50:48;17:13:00;08:18:23
1090;02/07/2019;08:04:19;12:23:39;13:02:30;17:35:35;08:52:25
1091;02/07/2019;08:31:27;12:31:29;13:05:18;17:36:51;08:31:35
1092;02/07/2019;08:38:47;12:30:45;13:45:58;17:00:14;07:06:14
1093;02/07/2019;08:57:33;12:03:39;13:00:31;17:27:53;07:33:28
1094;02/07/2019;08:23:01;12:21:46;13:19:55;17:18:36;07:57:26
1095;02/07/2019;08:21:31;12:31:22;13:03:37;17:11:24;08:17:38
1096;02/07/2019;08:23:29;12:18:32;13:17:19;17:37:28;08:15:12
1097;02/07/2019;08:59:44;12:29:02;13:18:00;17:38:07;07:49:25
1098;02/07/2019;08:46:07;12:30:50;13:25:36;17:42:25;08:01:32
1099;02/07/2019;08:24:19;12:03:57;13:38:23;17:12:26;07:13:41
1000;03/07/2019;08:25:18;12:31:50;13:52:46;17:13:59;07:27:45
1001;03/07/2019;08:23:43;12:56:08;13:34:50;17:16:45;08:14:20
1002;03/07/2019;08:38:08;12:15:57;13:38:04;17:42:45;07:42:30
1003;03/07/2019;08:47:06;12:32:26;13:14:00;17:30:09;08:01:29
1004;03/07/2019;08:35:33;12:32:25;13:26:38;17:45:10;08:15:24
1005;03/07/2019;08:22:55;12:50:23;13:30:04;17:17:37;08:15:01
1006;03/07/2019;08:41:56;12:57:39;13:41:47;17:24:25;07:58:21
1007;03/07/2019;08:19:22;12:26:52;13:58:46;17:07:35;07:16:19
1008;03/07/2019;08:39:03;12:10:58;13:55:32;17:32:14;07:08:37
1009;03/07/2019;08:25:07;12:11:32;13:25:23;17:12:01;07:33:03
1010;03/07/2019;08:28:31;12:10:55;13:49:44;17:19:49;07:12:29
1011;03/07/2019;08:50:55;12:36:27;13:58:04;17:20:45;07:08:13
1012;03/07/2019;08:44:38;12:05:33;13:39:24;17:23:57;07:05:28
1013;03/07/2019;08:23:32;12:59:19;13:02:52;17:39:06;09:12:01
1014;03/07/2019;08:16:21;12:35:19;13:09:18;17:27:49;08:37:29
1015;03/07/2019;08:38:47;12:14:52;13:42:27;17:18:01;07:11:39
1016;03/07/2019;08:08:52;12:28:13;13:32:40;17:15:41;08:02:22
1017;03/07/2019;08:04:37;12:13:47;13:59:04;17:11:39;07:21:45
1018;03/07/2019;08:45:08;12:45:48;13:52:19;17:59:32;08:07:53
1019;03/07/2019;08:48:53;12:30:04;13:21:56;17:39:28;07:58:43
1020;03/07/2019;08:29:47;12:52:59;13:29:46;17:39:15;08:32:41
1021;03/07/2019;08:31:17;12:50:45;13:52:28;17:36:58;08:03:58
1022;03/07/2019;08:11:53;12:48:21;13:05:42;17:56:47;09:27:33
1023;03/07/2019;08:31:04;12:16:16;13:01:35;17:18:58;08:02:35
1024;03/07/2019;08:03:32;12:38:46;13:41:41;17:08:27;08:02:00
1025;03/07/2019;08:25:59;12:58:31;13:51:50;17:08:38;07:49:20
1026;03/07/2019;08:43:35;12:47:53;13:38:54;17:15:00;07:40:24
1027;03/07/2019;08:08:34;12:56:38;13:23:56;17:18:46;08:42:54
1028;03/07/2019;08:12:45;12:20:42;13:11:36;17:40:31;08:36:52
1029;03/07/2019;08:59:15;12:53:15;13:16:29;17:00:16;07:37:47
1030;03/07/2019;08:17:47;12:26:18;13:48:15;17:06:53;07:27:09
1031;03/07/2019;08:03:07;12:31:09;13:38:52;17:08:41;07:57:51
1032;03/07/2019;08:33:06;12:13:27;13:31:09;17:42:18;07:51:30
1033;03/07/2019;08:48:49;12:40:08;13:37:09;17:21:25;07:35:35
1034;03/07/2019;08:45:39;12:52:44;13:52:14;17:53:51;08:08:42
1035;03/07/2019;08:38:50;12:10:53;13:28:14;17:29:04;07:32:53
1036;03/07/2019;08:20:29;12:09:37;13:39:32;17:55:40;08:05:16
1037;03/07/2019;08:50:20;12:46:19;13:51:22;17:19:09;07:23:46
1038;03/07/2019;08:03:20;12:42:40;13:50:40;17:09:01;07:57:41
1039;03/07/2019;08:44:56;12:25:27;13:12:18;17:50:56;08:19:09
1040;03/07/2019;08:01:48;12:33:23;13:00:19;17:04:44;08:36:00
1041;03/07/2019;08:17:14;12:15:32;13:24:28;17:17:53;07:51:43
1042;03/07/2019;08:16:41;12:06:44;13:58:14;17:27:58;07:19:47
1043;03/07/2019;08:30:50;12:14:15;13:21:57;17:04:34;07:26:02
1044;03/07/2019;08:53:16;12:06:59;13:25:54;17:33:44;07:21:33
1045;03/07/2019;08:01:21;12:12:12;13:40:26;17:54:23;08:24:48
1046;03/07/2019;08:41:50;12:38:03;13:10:02;17:46:26;08:32:37
1047;03/07/2019;08:39:48;12:18:13;13:56:25;17:38:03;07:20:03
1048;03/07/2019;08:34:20;12:25:51;13:46:44;17:15:22;07:20:09
1049;03/07/2019;08:10:07;12:51:20;13:29:14;17:54:30;09:06:29
1050;03/07/2019;08:04:03;12:52:32;13:20:27;17:04:50;08:32:52
1051;03/07/2019;08:53:49;12:18:42;13:17:10;17:44:07;07:51:50
1052;03/07/2019;08:16:46;12:19:18;13:03:08;17:12:09;08:11:33
1053;03/07/2019;08:50:55;12:54:36;13:15:57;17:59:34;08:47:18
1054;03/07/2019;08:33:38;12:05:48;13:58:04;17:26:09;07:00:15
1055;03/07/2019;08:05:53;12:29:12;13:47:06;17:04:05;07:40:18
1056;03/07/2019;08:52:03;12:06:28;13:15:33;17:13:30;07:12:22
1057;03/07/2019;08:38:42;12:01:24;13:34:07;17:38:53;07:27:28
1058;03/07/2019;08:50:43;12:56:31;13:14:19;17:25:58;08:17:27
1059;03/07/2019;08:00:39;12:18:12;13:14:27;17:05:43;08:08:49
1060;03/07/2019;08:15:06;12:27:05;13:13:56;17:02:37;08:00:40
1061;03/07/2019;08:52:44;12:12:33;13:55:00;17:58:10;07:22:59
1062;03/07/2019;08:25:52;12:42:50;13:08:21;17:27:53;08:36:30
1063;03/07/2019;08:39:58;12:55:35;13:12:16;17:01:29;08:04:50
1064;03/07/2019;08:27:38;12:09:20;13:07:44;17:55:09;08:29:07
1065;03/07/2019;08:25:54;12:04:36;13:07:21;17:25:26;07:56:47
1066;03/07/2019;08:25:16;12:24:20;13:24:50;17:41:28;08:15:42
1067;03/07/2019;08:53:11;12:06:29;13:52:26;17:12:33;06:33:25
1068;03/07/2019;08:18:36;12:15:44;13:09:31;17:23:28;08:11:05
1069;03/07/2019;08:56:18;12:03:17;13:14:25;17:16:11;07:08:45
1070;03/07/2019;08:45:45;12:12:48;13:20:50;17:56:05;08:02:18
1071;03/07/2019;08:24:06;12:35:33;13:31:43;17:01:36;07:41:20
1072;03/07/2019;08:04:58;12:45:44;13:06:53;17:05:32;08:39:25
1073;03/07/2019;08:20:51;12:45:10;13:38:22;17:11:12;07:57:09
1074;03/07/2019;08:16:48;12:02:36;13:03:19;17:20:47;08:03:16
1075;03/07/2019;08:58:10;12:58:59;13:12:14;17:40:03;08:28:38
1076;03/07/2019;08:53:56;12:58:58;13:50:04;17:44:45;07:59:43
1077;03/07/2019;08:42:39;12:50:57;13:33:59;17:05:06;07:39:25
1078;03/07/2019;08:05:23;12:16:33;13:03:56;17:38:47;08:46:01
1079;03/07/2019;08:34:03;12:29:36;13:39:52;17:27:41;07:43:22
1080;03/07/2019;08:57:18;12:45:47;13:36:07;17:00:31;07:12:53
1081;03/07/2019;08:09:29;12:57:41;13:41:53;17:34:29;08:40:48
1082;03/07/2019;08:39:47;12:55:11;13:18:47;17:50:53;08:47:30
1083;03/07/2019;08:26:15;12:50:18;13:31:46;17:34:09;08:26:26
1084;03/07/2019;08:42:27;12:08:52;13:28:38;17:06:55;07:04:42
1085;03/07/2019;08:04:38;12:03:30;13:29:36;17:57:01;08:26:17
1086;03/07/2019;08:45:57;12:49:07;13:14:21;17:57:47;08:46:36
1087;03/07/2019;08:32:40;12:03:26;13:37:44;17:30:49;07:23:51
1088;03/07/2019;08:21:17;12:01:37;13:02:04;17:05:25;07:43:41
1089;03/07/2019;08:44:10;12:01:43;13:04:21;17:55:45;08:08:57
1090;03/07/2019;08:15:51;12:27:54;13:35:48;17:26:19;08:02:34
1091;03/07/2019;08:25:18;12:53:22;13:29:45;17:00:07;07:58:26
1092;03/07/2019;08:51:41;12:46:57;13:58:22;17:06:00;07:02:54
1093;03/07/2019;08:22:12;12:14:46;13:53:02;17:30:37;07:30:09
1094;03/07/2019;08:36:04;12:06:19;13:18:49;17:08:08;07:19:34
1095;03/07/2019;08:33:07;12:27:23;13:04:10;17:35:32;08:25:38
1096;03/07/2019;08:16:25;12:04:47;13:56:57;17:04:04;06:55:29
1097;03/07/2019;08:51:04;12:17:18;13:03:59;17:25:19;07:47:34
1098;03/07/2019;08:12:58;12:38:59;13:38:36;17:51:52;08:39:17
1099;03/07/2019;08:46:31;12:16:17;13:28:39;17:44:53;07:46:00
1000;04/07/2019;08:44:45;12:37:52;13:21:48;17:07:21;07:38:40
1001;04/07/2019;08:36:16;12:51:49;13:53:41;17:19:05;07:40:57
1002;04/07/2019;08:25:55;12:04:03;13:37:45;17:21:24;07:21:47
1003;04/07/2019;08:54:57;12:08:20;13:31:24;17:29:37;07:11:36
1004;04/07/2019;08:04:59;12:40:15;13:25:32;17:56:59;09:06:43
1005;04/07/2019;08:32:04;12:21:21;13:25:32;17:39:29;08:03:14
1006;04/07/2019;08:34:33;12:41:49;13:00:32;17:35:38;08:42:22
1007;04/07/2019;08:47:58;12:51:31;13:39:37;17:27:24;07:51:20
1008;04/07/2019;08:07:48;12:03:04;13:25:02;17:34:06;08:04:20
1009;04/07/2019;08:58:27;12:37:59;13:28:18;17:27:44;07:38:58
1010;04/07/2019;08:26:00;12:09:06;13:52:09;17:53:44;07:44:41
1011;04/07/2019;08:53:30;12:22:12;13:30:27;17:23:42;07:21:57
1012;04/07/2019;08:56:14;12:40:50;13:35:27;17:02:40;07:11:49
1013;04/07/2019;08:01:08;12:43:27;13:11:55;17:42:01;09:12:25
1014;04/07/2019;08:09:56;12:20:19;13:35:18;17:49:13;08:24:18
1015;04/07/2019;08:23:32;12:11:54;13:43:14;17:46:16;07:51:24
1016;04/07/2019;08:42:04;12:49:07;13:24:05;17:48:03;08:31:01
1017;04/07/2019;08:20:50;12:35:00;13:04:38;17:46:08;08:55:40
1018;04/07/2019;08:14:01;12:07:49;13:38:05;17:58:24;08:14:07
1019;04/07/2019;08:07:36;12:20:20;13:45:56;17:16:35;07:43:23
1020;04/07/2019;08:46:45;12:11:17;13:21:11;17:25:20;07:28:41
1021;04/07/2019;08:21:05;12:38:23;13:38:49;17:53:36;08:32:05
1022;04/07/2019;08:10:50;12:03:48;13:51:00;17:06:54;07:08:52
1023;04/07/2019;08:35:40;12:13:05;13:23:11;17:47:23;08:01:37
1024;04/07/2019;08:18:15;12:25:03;13:10:15;17:11:27;08:08:00
1025;04/07/2019;08:47:07;12:15:53;13:39:41;17:35:38;07:24:43
1026;04/07/2019;08:45:07;12:38:30;13:29:15;17:35:19;07:59:27
1027;04/07/2019;08:09:48;12:35:54;13:18:17;17:23:16;08:31:05
1028;04/07/2019;08:32:04;12:57:33;13:59:05;17:14:48;07:41:12
1029;04/07/2019;08:18:29;12:47:32;13:44:36;17:00:43;07:45:10
1030;04/07/2019;08:01:07;12:50:47;13:01:30;17:14:09;09:02:19
1031;04/07/2019;08:20:07;12:20:50;13:23:00;17:09:24;07:47:07
1032;04/07/2019;08:30:07;12:48:01;13:14:07;17:37:44;08:41:31
1033;04/07/2019;08:41:48;12:30:28;13:14:23;17:46:04;08:20:21
1034;04/07/2019;08:19:52;12:10:54;13:03:33;17:19:39;08:07:08
1035;04/07/2019;08:31:20;12:35:14;13:53:34;17:53:10;08:03:30
1036;04/07/2019;08:44:44;12:23:48;13:03:33;17:31:54;08:07:25
1037;04/07/2019;08:07:27;12:04:55;13:24:22;17:01:16;07:34:22
1038;04/07/2019;08:51:26;12:30:24;13:15:53;17:40:53;08:03:58
1039;04/07/2019;08:10:26;12:08:04;13:40:34;17:04:07;07:21:11
1040;04/07/2019;08:49:37;12:30:27;13:35:36;17:10:26;07:15:40
1041;04/07/2019;08:59:21;12:55:17;13:44:33;17:11:53;07:23:16
1042;04/07/2019;08:54:57;12:09:19;13:49:50;17:40:18;07:04:50
1043;04/07/2019;08:16:58;12:35:08;13:05:07;17:39:34;08:52:37
1044;04/07/2019;08:10:48;12:56:43;13:19:22;17:46:08;09:12:41
1045;04/07/2019;08:05:06;12:08:20;13:41:03;17:08:05;07:30:16
